date,open,high,low,close,volume,marcap
2023-09-11,918.43,918.43,907.9,912.55,975185905,442065156842420
2023-09-12,918.1,918.96,895.96,898.04,1178572090,435289563130455
2023-09-13,895.94,899.8,882.27,882.72,1077222122,427779339434136
2023-09-14,888.19,899.47,886.46,899.47,1020175628,435744846795615
2023-09-15,900.62,902.4,897.11,899.03,941816269,435690978647815
2023-09-18,892.18,896.37,889.99,891.29,906664638,432560040384961
2023-09-19,891.57,894.26,882.42,883.89,1045779155,429135295907356
2023-09-20,883.74,886.65,874.92,882.72,1015725765,428558685865818
2023-09-21,875.52,879.82,859.51,860.68,1046442413,417773828305269
2023-09-22,851.93,860.68,847.56,857.35,1029356352,416270899616597
2023-09-25,856.79,859.04,839.17,839.17,869428222,407862919775921
2023-09-26,841.8,845.3,827.82,827.82,1122471901,402456733401798
2023-09-27,823.2,841.97,821.71,841.02,844483850,408940675177800
2023-10-04,832.3,832.3,806.47,807.4,816987613,392910795423150
2023-10-05,817.89,820.06,800.36,801.02,874561729,389801454612856
2023-10-06,803.88,818.37,803.88,816.39,776644942,397696147011453
2023-10-10,821.22,823.27,792.91,795.0,978040985,387316819638019
2023-10-11,805.03,821.83,805.03,817.12,856188114,398258712587184
2023-10-12,822.27,835.79,822.27,835.49,1040121117,407243123910342
2023-10-13,831.21,834.66,817.66,822.78,1060106942,401114166692247
2023-10-16,812.57,813.19,800.62,810.54,1049948703,395207401475388
2023-10-17,817.47,825.33,817.29,820.38,948110924,400045072789920
2023-10-18,816.92,820.09,807.45,808.89,864011792,394765329268523
2023-10-19,796.15,796.36,782.63,784.04,878334776,383117618035398
2023-10-20,775.81,779.92,759.4,769.25,980560186,376280739671974
2023-10-23,766.56,774.36,762.51,763.69,762343882,373761247614238
2023-10-24,771.03,784.86,750.32,784.86,951759212,384030224853614
2023-10-25,788.01,788.01,770.84,770.84,1015507373,377272631075685
2023-10-26,751.64,756.43,740.51,743.85,839569016,364097301031312
2023-10-27,749.87,760.51,738.92,748.49,665631834,365644484217477
2023-10-30,747.24,760.87,744.63,757.12,648823172,369973882749552
2023-10-31,758.65,759.24,734.2,736.1,868119072,359870029631241
2023-11-01,742.98,749.65,737.52,739.23,753917385,361406917718397
2023-11-02,753.37,773.39,753.37,772.84,794255847,377971180090034
2023-11-03,779.28,782.53,768.38,782.05,810108904,382563192241877
2023-11-06,794.49,839.45,793.72,839.45,849326310,410526334336536
2023-11-07,842.16,847.37,805.81,824.37,928085957,403415638740242
2023-11-08,821.98,831.45,810.15,811.02,884415628,396950367777154
2023-11-09,813.89,814.92,797.44,802.87,921924711,392553959323665
2023-11-10,792.86,794.73,785.45,789.31,863204580,385805211467449
2023-11-13,796.41,798.15,774.33,774.42,998048078,378636125609200
2023-11-14,779.47,794.91,779.47,794.19,841492448,388255637460621
2023-11-15,808.68,813.06,805.27,809.36,816588156,395818434792009
2023-11-16,809.12,815.82,804.74,811.11,905406930,396747876077641
2023-11-17,807.61,807.62,795.66,799.06,804590769,390975932221284
2023-11-20,797.83,815.27,797.51,813.08,786862534,398291726402113
2023-11-21,816.34,819.14,811.24,817.01,897451667,400925813172224
2023-11-22,811.2,817.28,809.83,814.61,842425267,399781373957833
2023-11-23,816.16,819.91,813.25,815.98,909847416,400519326332160
2023-11-24,817.02,818.74,814.22,815.0,741072449,401042266895043
2023-11-27,816.55,816.6,809.26,810.25,793999086,398598848757303
2023-11-28,811.76,816.62,811.06,816.44,933903190,402155801721691
2023-11-29,817.9,823.81,812.95,822.44,916373964,404935896232367
2023-11-30,819.23,831.68,819.23,831.68,774887614,409505275920919
2023-12-01,826.3,831.03,822.03,827.24,997870134,409283557270978
2023-12-04,828.66,837.95,823.99,828.52,1009243076,409935238534081
2023-12-05,823.86,828.25,810.52,813.38,1058500321,402801220567134
2023-12-06,816.66,822.39,814.0,819.54,882764259,406152913501448
2023-12-07,820.46,820.46,810.9,813.2,794863708,403050653416789
2023-12-08,818.71,830.99,818.5,830.37,862256339,411561684858623
2023-12-11,831.83,839.15,831.64,835.25,930374425,414215250778726
2023-12-12,835.41,842.56,833.67,839.53,1217323007,418033770244538
2023-12-13,837.55,838.25,828.72,829.31,1071809015,413323756989962
2023-12-14,841.75,845.54,834.66,840.59,1037462174,418931902190699
2023-12-15,844.76,846.7,834.94,838.31,1082325627,417973079092298
2023-12-18,844.78,854.07,843.61,850.96,802089047,424150156590754
2023-12-19,850.36,858.65,849.33,858.3,1068049562,427781325532824
